date,DividendYield,dividend,PE,PBR
2018/6/1,2.31,106,11.15,1.34
2018/6/4,2.28,106,11.3,1.36
2018/6/5,2.27,106,11.34,1.37
2018/6/6,2.24,106,11.47,1.38
2018/6/7,2.19,106,11.74,1.41
2018/6/8,2.27,106,11.36,1.37
2018/6/11,2.29,106,11.25,1.36
2018/6/12,2.28,106,11.29,1.36
2018/6/13,2.28,106,11.3,1.36
2018/6/14,2.34,106,11,1.33
2018/6/15,2.35,106,10.94,1.32
2018/6/19,2.41,106,10.68,1.29
2018/6/20,2.41,106,10.68,1.29
2018/6/21,2.42,106,10.64,1.28
2018/6/22,2.43,106,10.59,1.28
2018/6/25,2.45,106,10.49,1.26
2018/6/26,2.47,106,10.42,1.26
2018/6/27,2.47,106,10.41,1.26
2018/6/28,2.48,106,10.36,1.25
2018/6/29,2.4,106,10.71,1.29